Org Name,OrgCode,Num in Cohort,Percent Graduated,Percent Still in School,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,Percent Permanently Excluded
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,8060605,192,97.4,2.1,0,0,0.5,0
Boston - Another Course To College,350541,50,74,10,0,4,10,2
Boston - Boston Adult Academy,350548,143,52.4,25.9,11.9,0,9.8,0
Boston - Boston Arts Academy,350546,89,89.9,7.9,0,0,2.2,0
Boston - Boston Community Leadership Academy,350558,105,80,13.3,0,0,6.7,0
Boston - Boston International High School,350507,104,61.5,28.8,1,0,7.7,1
Boston - Boston Latin,350560,378,97.1,2.4,0,0,0.3,0.3
Boston - Boston Latin Academy,350545,242,92.1,5.4,0,0,2.5,0
Boston - Brighton High,350505,316,59.8,17.1,0,3.5,19.3,0.3
Boston - Charlestown High,350515,239,45.6,31.8,1.3,2.1,19.2,0
Boston - Community Academy,350518,35,8.6,28.6,0,11.4,51.4,0
Boston - Community Academy of Science and Health,350581,109,57.8,27.5,0,0,14.7,0
Boston - Dorchester Academy,350651,113,49.6,26.5,0.9,0.9,22.1,0
Boston - East Boston High,350530,314,56.1,21.3,0,1.3,21.3,0
Boston - Excel High School,350522,184,51.6,17.4,0,4.3,25,1.6
Boston - Fenway High School,350540,80,92.5,5,0,0,2.5,0
Boston - Greater Egleston Community High School,350543,103,30.1,48.5,3.9,1,16.5,0
Boston - Horace Mann School for the Deaf,350750,11,27.3,63.6,0,0,9.1,0
Boston - Jeremiah E Burke High,350525,157,61.1,14.6,0,1.9,21.7,0.6
Boston - Lyon Upper 9-12,350655,30,86.7,3.3,0,3.3,6.7,0
Boston - Madison Park High,350537,286,62.9,18.5,1.4,1.4,15,0.7
Boston - New Mission High School,350542,70,88.6,10,0,0,1.4,0
Boston - O'Bryant School Math/Science,350575,251,93.6,4.8,0,0.4,1.2,0
Boston - Quincy Upper School,350565,41,73.2,19.5,2.4,0,4.9,0
Boston - Snowden International School at Copley,350690,100,70,9,0,2,18,1
Boston - TechBoston Academy,350657,142,78.9,12.7,0,0.7,7.7,0
Boston - The English High,350535,191,51.8,25.1,0.5,2.1,19.9,0.5
Boston - Urban Science Academy,350579,148,64.9,20.3,0.7,0.7,12.8,0.7
Boston - West Roxbury Academy,350658,200,65.5,16.5,0,0.5,16.5,1
Boston - William McKinley,350363,73,21.9,42.5,2.7,4.1,28.8,0
Boston Collegiate Charter (District) - Boston Collegiate Charter School,4490305,36,77.8,22.2,0,0,0,0
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,4240505,158,16.5,54.4,0,3.8,25.3,0
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,4110305,68,75,20.6,0,0,4.4,0
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,4160305,39,66.7,25.6,0,0,7.7,0
Bourne - Bourne High School,360505,128,93,0,0,3.1,3.9,0
Braintree - Braintree High,400505,382,92.9,4.5,0.3,0.8,1.6,0
Bridgewater-Raynham - Bridgewater-Raynham Regional,6250505,398,93,3,0.3,0,3.8,0
Bristol County Agricultural - Bristol County Agricultural High,9100705,111,98.2,0,0,0,1.8,0
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,8100605,287,97.9,0,0,0.3,1.7,0
Brockton - B B Russell Alternative School,440080,33,36.4,0,6.1,3,54.5,0
Brockton - Brockton Champion High School,440515,62,22.6,38.7,1.6,3.2,33.9,0
Brockton - Brockton High,440505,943,85.2,5.2,2.1,1.3,6.3,0
Brockton - Edison Academy,440520,193,38.3,24.9,13,1,22.8,0
Brockton - Goddard Alternative School,440400,11,9.1,54.5,0,0,36.4,0
Brookline - Brookline High,460505,411,92.2,4.4,0,0.5,2.9,0
Burlington - Burlington High,480505,273,92.7,2.9,0,1.1,3.3,0
Cambridge - Cambridge Rindge and Latin,490506,394,91.1,5.1,0.3,0.5,3,0
Canton - Canton High,500505,206,96.6,0.5,0,0.5,2.4,0
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,8150605,154,86.4,5.8,1.3,0.6,5.8,0
Carver - Carver Middle/High School,520405,118,95.8,0.8,0,0.8,2.5,0
Central Berkshire - Wahconah Regional High,6350505,126,95.2,0.8,0,2.4,1.6,0
Chelmsford - Chelmsford High,560505,385,95.8,0.3,0.8,0.3,2.9,0
Chelsea - Chelsea High,570505,356,65.7,11.5,3.9,3.7,15.2,0
Chicopee - Chicopee Academy,610021,21,9.5,28.6,0,14.3,47.6,0
Chicopee - Chicopee Comprehensive High School,610510,344,82.8,6.4,0.3,3.5,7,0
Chicopee - Chicopee High,610505,273,76.9,4,0.7,3.7,14.7,0
City On A Hill Charter Public (District) - City On A Hill Charter Public School,4370505,49,73.5,24.5,0,0,2,0
Clinton - Clinton Senior High,640505,104,91.3,1.9,1,1.9,3.8,0
Codman Academy Charter Public (District) - Codman Academy Charter Public School,4380505,35,85.7,8.6,0,0,5.7,0
Cohasset - Cohasset Middle/High School,650505,100,99,0,0,0,1,0
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,36,80.6,16.7,0,0,2.8,0
Concord-Carlisle - Concord Carlisle High,6400505,304,97,2.3,0.3,0.3,0,0
Danvers - Danvers High,710505,242,94.6,1.2,0,1.2,2.9,0
Dartmouth - Dartmouth High,720505,303,92.4,2,0,1.3,4,0.3
Dedham - Dedham High,730505,220,94.1,2.3,0.9,0.5,2.3,0
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,195,84.1,5.6,1.5,1.5,7.2,0
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,6500505,205,97.1,0,0.5,1,1.5,0
Douglas - Douglas High School,770505,126,92.9,0.8,0,2.4,4,0
Dover-Sherborn - Dover-Sherborn Regional High,6550505,147,98,0,0.7,0,1.4,0
Dracut - Dracut Senior High,790505,274,90.9,1.8,1.1,1.5,4.7,0
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,273,95.2,0.7,1.1,1.5,1.5,0
Duxbury - Duxbury High,820505,223,98.2,0,0,0,1.8,0
East Bridgewater - East Bridgewater JR./SR. High School,830505,157,96.8,0,0.6,0.6,1.9,0
East Longmeadow - East Longmeadow High,870505,206,96.6,1.5,1,0,1,0
Easthampton - Easthampton High,860505,116,90.5,4.3,0,2.6,2.6,0
Easton - Oliver Ames High,880505,300,97,1.7,0,0.3,1,0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),4520505,46,97.8,2.2,0,0,0,0
Essex Agricultural Technical - Essex Agricultural and Technical Institute,9130705,108,99.1,0,0,0,0.9,0
Everett - Everett High,930505,528,78,8.3,3.4,1.1,9.1,0
Fairhaven - Fairhaven High,940505,142,85.9,2.8,0.7,0.7,9.9,0
Fall River - B M C Durfee High,950505,488,77.7,4.5,5.5,1.8,10.5,0
Fall River - Resiliency Preparatory School,950325,122,38.5,16.4,7.4,1.6,36.1,0
Falmouth - Falmouth High,960505,197,90.4,3.6,0,2,4.1,0
Fitchburg - Fitchburg High,970505,247,81.8,4.9,0.4,3.2,9.7,0
Fitchburg - Goodrich Academy,970510,147,55.1,21.8,4.1,2,15.6,1.4
Four Rivers Charter Public (District) - Four Rivers Charter Public School,4130505,36,88.9,0,0,5.6,5.6,0
Foxborough - Foxborough High,990505,196,93.9,4.1,0,0,2,0
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,61,95.1,0,1.6,0,3.3,0
Framingham - Framingham High School,1000515,540,86.7,5.4,0.2,0.9,6.9,0
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,67,91,7.5,0,0,1.5,0
Franklin - Franklin High,1010505,399,97.2,0.8,0,0.3,1.8,0
Franklin County Regional Vocational Technical - Franklin County Technical,8180605,122,90.2,4.1,0,0.8,4.9,0
Freetown-Lakeville - Apponequet Regional High,6650505,218,94.5,0.9,0,0.5,4.1,0
Frontier - Frontier Regional,6700505,99,91.9,3,0,1,4,0
Gardner - Gardner Academy for Learning and Technology,1030515,39,41,12.8,0,7.7,38.5,0
Gardner - Gardner High,1030505,128,89.1,3.1,2.3,1.6,3.9,0
Gateway - Gateway Regional High,6720505,79,86.1,2.5,0,3.8,7.6,0
Georgetown - Georgetown High School,1050505,109,94.5,1.8,0,0.9,2.8,0
Gill-Montague - Turners Fall High,6740505,64,82.8,7.8,1.6,1.6,6.3,0
Global Learning Charter Public (District) - Global Learning Charter Public School,4960305,20,95,5,0,0,0,0
Gloucester - Gloucester High,1070505,242,91.3,2.1,0.4,1.2,5,0
Grafton - Grafton High School,1100505,176,90.3,6.3,0,0.6,2.8,0
Granby - Granby Jr Sr High School,1110505,82,97.6,1.2,0,0,1.2,0
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,8210605,330,97.6,0.3,0.6,0.3,0.9,0.3
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,8230605,300,93,4,0.3,0.7,2,0
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,8280605,513,95.1,2.7,0.4,0,1.6,0.2
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,543,91.5,1.7,0.4,0.2,5.3,0.9
Greenfield - Greenfield High,1140505,100,77,9,5,3,3,3
Groton-Dunstable - Groton Dunstable Regional,6730505,206,99,0.5,0,0,0.5,0
Hadley - Hopkins Academy,1170505,44,95.5,2.3,0,0,2.3,0
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,178,97.8,0.6,0,0,1.7,0
Hampden Charter School of Science (District) - Hampden Charter School of Science,4990305,29,96.6,3.4,0,0,0,0
Hampden-Wilbraham - Minnechaug Regional High,6800505,306,97.4,0.3,0,0.3,2,0
Hampshire - Hampshire Regional High,6830505,128,96.1,1.6,0,1.6,0.8,0
Hanover - Hanover High,1220505,194,98.5,1,0,0.5,0,0
Harvard - Bromfield,1250505,102,97.1,0,0,0,2.9,0
Hatfield - Smith Academy,1270505,31,96.8,0,0,3.2,0,0
Haverhill - Haverhill Alternative School,1280033,7,28.6,28.6,0,0,42.9,0
Haverhill - Haverhill High,1280505,477,75.5,7.5,2.1,1.3,13.6,0
Hingham - Hingham High,1310505,250,95.2,0.4,0.4,0.4,3.6,0
Holbrook - Holbrook Jr Sr High,1330505,71,83.1,11.3,1.4,1.4,2.8,0
Holliston - Holliston High,1360505,191,99.5,0.5,0,0,0,0
Holyoke - Holyoke High,1370505,351,68.4,10.5,4,3.7,13.4,0
Holyoke - Wm J Dean Vocational Technical High,1370605,142,41.5,11.3,12,4.2,28.9,2.1
Hopedale - Hopedale Jr Sr High,1380505,83,95.2,1.2,0,1.2,2.4,0
Hopkinton - Hopkinton High,1390505,302,99,0.3,0,0.7,0,0
Hudson - Hudson High,1410505,196,92.9,2,0,1.5,3.6,0
Hull - Hull High,1420505,81,82.7,11.1,0,1.2,4.9,0
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,52,92.3,5.8,0,0,1.9,0
Ipswich - Ipswich High,1440505,166,96.4,0,1.2,1.2,1.2,0
King Philip - King Philip Regional High,6900505,325,94.2,3.4,0.3,0.3,1.8,0
Lawrence - Business Management & Finance High School,1490530,148,77.7,3.4,6.1,2,10.8,0
Lawrence - Health & Human Services High School,1490531,127,85.8,3.9,5.5,0.8,3.9,0
Lawrence - High School Learning Center,1490536,130,20,37.7,9.2,1.5,31.5,0
Lawrence - Humanities & Leadership Development High School,1490532,136,88.2,5.9,2.2,1.5,2.2,0
Lawrence - International High School,1490534,157,52.2,7,19.7,0,21,0
"Lawrence - Math, Science & Technology High School",1490533,133,86.5,5.3,2.3,0,6,0
Lawrence - Performing & Fine Arts High School,1490535,131,82.4,4.6,6.1,1.5,5.3,0
Lawrence - Phoenix Academy Lawrence,1490540,42,4.8,54.8,2.4,4.8,33.3,0
Lawrence - School for Exceptional Studies,1490537,20,35,25,5,0,35,0
Lee - Lee Middle/High School,1500505,84,91.7,0,0,3.6,4.8,0
Leicester - Leicester High,1510505,122,91.8,3.3,0,4.9,0,0
Lenox - Lenox Memorial High,1520505,67,100,0,0,0,0,0
Leominster - Center For Technical Education Innovation,1530605,112,88.4,4.5,2.7,0.9,3.6,0
Leominster - Leominster High School,1530505,334,91.3,2.7,1.2,1.5,3.3,0
Lexington - Lexington High,1550505,477,96.9,1.7,0,1,0.4,0
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,399,98.7,0.8,0,0,0.5,0
Littleton - Littleton High School,1580505,101,93.1,1,0,0,5.9,0
Longmeadow - Longmeadow High,1590505,230,98.3,1.3,0,0.4,0,0
Lowell - Lowell High,1600505,800,75,7.3,2.1,2.8,12.8,0.1
Lowell Middlesex Academy Charter (District) - Lowell Middlesex Academy Charter School,4580505,73,5.5,31.5,0,17.8,43.8,1.4
Ludlow - Ludlow Senior High,1610505,254,92.1,3.5,0.4,1.2,2.8,0
Lunenburg - Lunenburg High,1620505,109,98.2,0.9,0,0.9,0,0
Lynn - Classical High,1630505,384,83.1,5.2,2.9,0.5,8.3,0
Lynn - Fecteau-Leary Junior/Senior High School,1630525,39,28.2,7.7,5.1,5.1,53.8,0
Lynn - Lynn English High,1630510,501,77.8,5.8,2.2,2.2,12,0
Lynn - Lynn Vocational Technical Institute,1630605,138,71,15.9,4.3,0.7,8,0
Lynnfield - Lynnfield High,1640505,150,95.3,0.7,0.7,1.3,0.7,1.3
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,49,100,0,0,0,0,0
Malden - Malden High,1650505,461,80.9,9.5,0.9,1.1,7.6,0
Manchester Essex Regional - Manchester Essex Regional High School,6980510,115,97.4,0.9,0,0,0.9,0.9
Mansfield - Mansfield High,1670505,349,95.7,0.6,0,0.3,3.4,0
Marblehead - Marblehead High,1680505,254,97.6,0.8,0,0.4,1.2,0
Marlborough - Marlborough High,1700505,274,83.6,8.4,0.7,0.4,6.2,0.7
Marshfield - Marshfield High,1710505,326,92.9,1.2,0.3,1.8,3.7,0
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,4660550,7,57.1,14.3,0,0,28.6,0
Marthas Vineyard - Marthas Vineyard Regional High,7000505,160,92.5,3.1,0.6,1.3,2.5,0
Masconomet - Masconomet Regional High School,7050505,342,99.4,0,0,0.6,0,0
Mashpee - Mashpee High,1720505,99,84.8,9.1,2,1,3,0
MATCH Charter Public School (District) - MATCH Charter Public School,4690505,42,66.7,33.3,0,0,0,0
Maynard - Maynard High,1740505,89,89.9,1.1,1.1,1.1,5.6,1.1
Medfield - Medfield Senior High,1750505,232,98.7,0.4,0.4,0,0.4,0
Medford - Curtis-Tufts,1760510,11,36.4,36.4,0,0,27.3,0
Medford - Medford High,1760505,292,88,5.5,1,1,4.5,0
Medford - Medford Vocational Technical High,1760605,47,93.6,2.1,0,0,4.3,0
Medway - Medway High,1770505,187,95.7,1.6,0,1.6,1.1,0
Melrose - Melrose High,1780505,226,97.3,0.4,0,1.3,0.9,0
Mendon-Upton - Nipmuc Regional High,7100510,182,96.2,1.1,0,1.6,0.5,0.5
Methuen - Methuen High,1810505,465,85.8,4.1,3.2,1.7,5.2,0
Middleborough - Middleborough High,1820505,191,90.1,3.7,0,1,5.2,0
Milford - Milford High,1850505,289,87.5,6.6,0.3,1.4,4.2,0
Millbury - Millbury Junior/Senior High,1860505,122,92.6,1.6,0,2.5,3.3,0
Millis - Millis High School,1870505,108,96.3,2.8,0,0,0.9,0
Milton - Milton High,1890505,228,95.2,3.5,0,0,1.3,0
Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,155,86.5,8.4,0,0.6,4.5,0
Mohawk Trail - Mohawk Trail Regional High,7170505,74,86.5,6.8,1.4,0,4.1,1.4
Monomoy Regional School District - Chatham High School,7120505,32,90.6,0,6.3,3.1,0,0
Monomoy Regional School District - Harwich High School,7120510,66,98.5,0,0,0,1.5,0
Monson - Monson Innovation High School,1910505,90,73.3,5.6,0,6.7,14.4,0
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,8320605,332,98.2,0.6,0,0.6,0.3,0.3
Mount Greylock - Mt Greylock Regional High,7150505,113,100,0,0,0,0,0
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,4700105,82,96.3,1.2,0,0,2.4,0
Nantucket - Nantucket High,1970505,104,82.7,8.7,2.9,1,4.8,0
Narragansett - Narragansett Regional High,7200505,86,95.3,3.5,0,0,1.2,0
Nashoba - Nashoba Regional,7250505,232,95.3,3,0,0.4,1.3,0
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,8520605,162,95.1,1.9,0,1.2,1.9,0
Natick - Natick High,1980505,337,95.5,1.8,1.5,0.3,0.9,0
Nauset - Nauset Regional High,6600505,269,93.7,3.3,1.1,0.4,1.5,0
Needham - Needham High,1990505,359,97.5,1.4,0.3,0.3,0.6,0
New Bedford - New Bedford High,2010505,505,66.1,9.1,9.5,1.4,13.9,0
New Bedford - Trinity Day Academy,2010510,14,50,14.3,0,7.1,28.6,0
New Bedford - Whaling City Junior/Senior High School,2010515,50,20,4,10,6,58,2
Newburyport - Newburyport High,2040505,160,96.3,1.3,1.3,0,1.3,0
Newton - Newton North High,2070505,514,94.9,4.1,0,0.2,0.8,0
Newton - Newton South High,2070510,416,97.8,1.4,0,0.5,0.2,0
Norfolk County Agricultural - Norfolk County Agricultural,9150705,116,95.7,4.3,0,0,0,0
North Adams - Drury High,2090505,113,79.6,6.2,1.8,2.7,9.7,0
North Andover - North Andover High,2110505,342,96.2,1.2,2,0.3,0.3,0
North Attleborough - North Attleboro High,2120505,310,90,4.2,1.6,1,3.2,0
North Brookfield - North Brookfield High,2150505,34,88.2,8.8,0,2.9,0,0
North Central Charter Essential (District) - North Central Charter Essential School,4740505,41,78,7.3,0,7.3,2.4,4.9
North Middlesex - North Middlesex Regional,7350505,244,94.7,0.8,1.6,0,2.9,0
North Reading - North Reading High,2170505,191,94.8,2.1,0,0.5,2.6,0
North Shore Regional Vocational Technical - North Shore Regional Vocational,8540605,103,99,0,0,0,1,0
Northampton - Northampton High,2100505,219,92.7,3.2,0.9,0.5,2.7,0
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,4060705,103,95.1,1.9,0,0,2.9,0
Northboro-Southboro - Algonquin Regional High,7300505,383,97.1,1.3,0,0.3,1.3,0
Northbridge - Northbridge High,2140505,188,90.4,2.7,1.1,1.1,4.8,0
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,8530605,296,95.6,1.4,0.3,0.7,1,1
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,8510605,107,93.5,2.8,0,0,3.7,0
Norton - Norton High,2180505,187,88.8,1.6,0.5,2.1,7,0
Norwell - Norwell High,2190505,158,97.5,1.3,0,0,1.3,0
Norwood - Norwood High,2200505,261,89.3,6.1,0.4,0.4,3.8,0
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,8550605,142,99.3,0,0,0,0.7,0
Old Rochester - Old Rochester Regional High,7400505,166,93.4,1.8,0.6,1.2,3,0
Oxford - Oxford High,2260505,113,81.4,4.4,0,3.5,10.6,0
Palmer - Palmer High,2270505,104,76.9,10.6,0,2.9,9.6,0
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,8600605,154,88.3,6.5,0,1.3,3.9,0
Peabody - Peabody Veterans Memorial High,2290510,461,89.8,4.1,1.1,1.5,3.5,0
Pembroke - Pembroke High School,2310505,244,93.4,1.6,0,1.2,3.7,0
Pentucket - Pentucket Regional Sr High,7450505,190,94.2,2.1,0,0.5,3.2,0
Phoenix Charter Academy (District) - Phoenix Charter Academy,4930505,86,15.1,26.7,0,7,51.2,0
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,4940205,47,97.9,2.1,0,0,0,0
Pioneer Valley - Pioneer Valley Regional,7500505,83,90.4,2.4,0,0,7.2,0
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,4790505,68,82.4,5.9,0,8.8,2.9,0
Pittsfield - Pittsfield High,2360505,231,87,6.1,0.4,2.6,3.9,0
Pittsfield - Taconic High,2360510,272,83.1,2.9,0.7,4.8,8.5,0
Plymouth - Plymouth North High,2390505,258,87.2,2.7,1.9,2.3,5.4,0.4
Plymouth - Plymouth South High,2390515,334,91.9,3,0,2.1,3,0
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,4870550,60,85,5,0,0,10,0
Quabbin - Quabbin Regional High School,7530505,164,80.5,12.2,1.2,4.3,1.8,0
Quaboag Regional - Quaboag Regional High,7780505,81,90.1,3.7,1.2,3.7,1.2,0
Quincy - North Quincy High,2430510,287,87.5,5.9,0.3,0.3,5.9,0
Quincy - Quincy High,2430505,430,86.5,5.1,1.6,1.9,4.9,0
Ralph C Mahar - Pathways Early College Innovation School,7550515,22,86.4,13.6,0,0,0,0
Ralph C Mahar - Ralph C Mahar Regional,7550505,118,79.7,6.8,0,4.2,9.3,0
Ralph C Mahar - The Gateway to College,7550525,44,45.5,29.5,0,9.1,15.9,0
Randolph - Randolph High,2440505,213,76.5,4.2,8.5,1.4,8.5,0.9
Reading - Reading Memorial High,2460505,315,96.2,1,0,1.3,1.6,0
Revere - Revere High,2480505,353,89,3.1,2,1.7,4.2,0
Revere - Seacoast School,2480520,68,29.4,19.1,1.5,8.8,41.2,0
Rockland - Rockland Senior High,2510505,129,91.5,1.6,0.8,0.8,5.4,0
Rockport - Rockport High,2520510,70,97.1,0,0,2.9,0,0
Sabis International Charter (District) - Sabis International Charter School,4410505,104,98.1,1,0,1,0,0
Salem - Salem High,2580505,282,88.3,3.9,2.5,1.4,3.9,0
Salem - Salem Prep High School,2580515,6,50,33.3,0,16.7,0,0
Salem Academy Charter (District) - Salem Academy Charter School,4850485,35,88.6,2.9,0,0,8.6,0
Salem Community Charter School (District) - Salem Community Charter School,4670505,13,7.7,46.2,0,0,46.2,0
Sandwich - Sandwich High,2610505,208,93.3,2.4,0,0,4.3,0
Saugus - Saugus High,2620505,179,82.1,4.5,0.6,4.5,8.4,0
Scituate - Scituate High School,2640505,184,91.3,6,0,0,2.7,0
Seekonk - Seekonk High,2650505,186,96.8,0.5,0,1.1,1.6,0
Sharon - Sharon High,2660505,308,97.1,1.6,0,0.3,1,0
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,8710605,337,97.3,1.8,0.3,0,0.3,0.3
Shrewsbury - Shrewsbury Sr High,2710505,412,94.9,1.5,1.2,1.5,1,0
Silver Lake - Silver Lake Regional High,7600505,280,97.9,1.4,0,0.4,0.4,0
Somerset Berkley Regional School District - Somerset Berkley Regional High School,7630505,231,95.7,0,0,1.3,2.6,0.4
Somerville - Full Circle High School,2740510,23,13,47.8,4.3,4.3,30.4,0
Somerville - Somerville High,2740505,330,82.7,7.9,0.6,0.6,7.9,0.3
South Hadley - South Hadley High,2780505,161,91.3,5.6,0,0.6,2.5,0
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,8290605,158,88,8.2,0,0.6,3.2,0
South Shore Charter Public (District) - South Shore Charter Public School,4880550,36,94.4,5.6,0,0,0,0
South Shore Regional Vocational Technical - So Shore Vocational Technical High,8730605,141,93.6,4.3,0,0.7,1.4,0
Southbridge - Southbridge Middle/High School,2770415,112,69.6,11.6,7.1,0.9,9.8,0.9
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,8720605,294,96.9,0.3,0,0.3,2.4,0
Southern Berkshire - Mt Everett Regional,7650505,53,90.6,3.8,1.9,1.9,1.9,0
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,8760605,235,90.2,6.4,0,0.4,3,0
Southwick-Tolland-Granville Regional School District - Southwick-Tolland Regional High,7660505,118,90.7,0.8,1.7,0.8,5.1,0.8
Spencer-E Brookfield - David Prouty High,7670505,122,84.4,5.7,0,1.6,7.4,0.8
Springfield - Early College High School,2810565,24,70.8,20.8,0,0,8.3,0
Springfield - Gateway to College,2810575,20,45,30,0,0,25,0
Springfield - High School Of Commerce,2810510,392,43.9,9.2,8.2,3.3,35.2,0.3
Springfield - High School/Science-Tech,2810530,347,50.4,9.5,8.9,3.5,27.1,0.6
Springfield - Liberty Preparatory Academy,2810560,11,27.3,27.3,27.3,0,18.2,0
Springfield - Putnam Vocational Technical High School,2810620,306,79.7,13.1,3.3,0.3,3.6,0
Springfield - Springfield Central High,2810500,503,79.7,4.4,1,2.6,12.3,0
Springfield - Springfield High School,2810570,63,20.6,17.5,9.5,4.8,47.6,0
Springfield - Springfield Public Day High School,2810550,27,14.8,48.1,0,3.7,33.3,0
